id,Name,Manufacturer,Fan RPM,Noise Level,Color,Height,Water Cooled,Fanless,Price,Url
1,Corsair iCUE H150i ELITE CAPELLIX 75 CFM Liquid CPU Cooler (CW-9060048-WW),Corsair,2400 RPM,10 - 37 dB,Black,,Yes - 360 mm,No,€187.90,https://fi.pcpartpicker.com/product/8jFKHx/corsair-icue-h150i-elite-capellix-75-cfm-liquid-cpu-cooler-cw-9060048-ww
2,Cooler Master MASTERLIQUID ML240L RGB V2 65.59 CFM Liquid CPU Cooler (MLW-D24M-A18PC-R2),Cooler Master,650 - 1800 RPM,6 - 27 dB,Black,,Yes - 240 mm,No,€82.90,https://fi.pcpartpicker.com/product/fLFKHx/cooler-master-masterliquid-ml240l-rgb-v2-6559-cfm-liquid-cpu-cooler-mlw-d24m-a18pc-r2
3,NZXT Kraken X53 73.11 CFM Liquid CPU Cooler (RL-KRX53-01),NZXT,500 - 2000 RPM,21 - 36 dB,Black,,Yes - 240 mm,No,€134.90,https://fi.pcpartpicker.com/product/PVfFf7/nzxt-kraken-x53-7311-cfm-liquid-cpu-cooler-rl-krx53-01
4,Noctua NH-D15 chromax.black 82.52 CFM CPU Cooler (NH-D15 CHROMAX.BLACK),Noctua,300 - 1500 RPM,19.2 - 24.6 dB,Black,165 mm,No,No,€107.90,https://fi.pcpartpicker.com/product/84MTwP/noctua-nh-d15-chromaxblack-8252-cfm-cpu-cooler-nh-d15-chromaxblack
5,Corsair iCUE H100i ELITE CAPELLIX 75 CFM Liquid CPU Cooler (CW-9060046-WW),Corsair,2400 RPM,10 - 37 dB,Black,,Yes - 240 mm,No,€164.00,https://fi.pcpartpicker.com/product/VDWBD3/corsair-icue-h100i-elite-capellix-75-cfm-liquid-cpu-cooler-cw-9060046-ww
6,be quiet! Dark Rock Pro 4 50.5 CFM CPU Cooler (BK022),be quiet!,1500 RPM,12.8 - 24.3 dB,Black,163 mm,No,No,€89.90,https://fi.pcpartpicker.com/product/F3gzK8/be-quiet-dark-rock-pro-4-505-cfm-cpu-cooler-bk022
7,NZXT Kraken Z73 73.11 CFM Liquid CPU Cooler (RL-KRZ73-01),NZXT,500 - 1800 RPM,21 - 36 dB,Black,,Yes - 360 mm,No,€259.00,https://fi.pcpartpicker.com/product/htkgXL/nzxt-kraken-z73-7311-cfm-liquid-cpu-cooler-rl-krz73-01
8,NZXT Kraken X63 98.17 CFM Liquid CPU Cooler (RL-KRX63-01),NZXT,500 - 2000 RPM,21 - 38 dB,Black,,Yes - 280 mm,No,€132.90,https://fi.pcpartpicker.com/product/JfVG3C/nzxt-kraken-x63-9817-cfm-liquid-cpu-cooler-rl-krx63-01
9,Corsair iCUE H150i ELITE CAPELLIX 75 CFM Liquid CPU Cooler (CW-9060051-WW),Corsair,2400 RPM,10 - 37 dB,White,,Yes - 360 mm,No,€189.90,https://fi.pcpartpicker.com/product/7PxRsY/corsair-icue-h150i-elite-capellix-75-cfm-liquid-cpu-cooler-cw-9060051-ww
10,Noctua NH-D15 82.5 CFM CPU Cooler (NH-D15),Noctua,300 - 1500 RPM,19.2 - 24.6 dB,,165 mm,No,No,€89.90,https://fi.pcpartpicker.com/product/4vzv6h/noctua-nh-d15-825-cfm-cpu-cooler-nh-d15
