id,Name,Manufacturer,Core Count,Performance Core Clock,Performance Boost Clock,TDP,Integrated Graphics,L3 Cache,Simultaneous Multithreading,Includes CPU Cooler,Socket,Price,Url
1,AMD Ryzen 5 5600X 3.7 GHz 6-Core Processor (100-100000065BOX),AMD,6,3.7 GHz,4.6 GHz,65 W,None,1 x 32 MB,Yes,Yes,AM4,€259.90,https://fi.pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box
2,AMD Ryzen 7 5800X 3.8 GHz 8-Core Processor (100-100000063WOF),AMD,8,3.8 GHz,4.7 GHz,105 W,None,1 x 32 MB,Yes,No,AM4,€389.90,https://fi.pcpartpicker.com/product/qtvqqs/amd-ryzen-7-5800x-38-ghz-8-core-processor-100-100000063wof
3,AMD Ryzen 9 5900X 3.7 GHz 12-Core Processor (100-100000061WOF),AMD,12,3.7 GHz,4.8 GHz,105 W,None,2 x 32 MB,Yes,No,AM4,€479.90,https://fi.pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof
4,AMD Ryzen 5 5600G 3.9 GHz 6-Core Processor (100-100000252BOX),AMD,6,3.9 GHz,4.4 GHz,65 W,Radeon Vega 7,1 x 16 MB,Yes,Yes,AM4,€209.90,https://fi.pcpartpicker.com/product/sYmmP6/amd-ryzen-5-5600g-39-ghz-6-core-processor-100-100000252box
5,AMD Ryzen 9 5950X 3.4 GHz 16-Core Processor (100-100000059WOF),AMD,16,3.4 GHz,4.9 GHz,105 W,None,2 x 32 MB,Yes,No,AM4,€649.90,https://fi.pcpartpicker.com/product/Qk2bt6/amd-ryzen-9-5950x-34-ghz-16-core-processor-100-100000059wof
6,AMD Ryzen 5 5600 3.5 GHz 6-Core Processor (100-100000927BOX),AMD,6,3.5 GHz,4.4 GHz,65 W,None,1 x 32 MB,Yes,Yes,AM4,€219.90,https://fi.pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box
7,AMD Ryzen 7 5700X 3.4 GHz 8-Core Processor (100-100000926WOF),AMD,8,3.4 GHz,4.6 GHz,65 W,None,1 x 32 MB,Yes,No,AM4,€329.90,https://fi.pcpartpicker.com/product/JmhFf7/amd-ryzen-7-5700x-34-ghz-8-core-processor-100-100000926wof
8,AMD Ryzen 5 5500 3.6 GHz 6-Core Processor (100-100000457BOX),AMD,6,3.6 GHz,4.2 GHz,65 W,None,1 x 16 MB,Yes,Yes,AM4,€139.90,https://fi.pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box
9,AMD Ryzen 7 5700G 3.8 GHz 8-Core Processor (100-100000263BOX),AMD,8,3.8 GHz,4.6 GHz,65 W,Radeon Vega 8,1 x 16 MB,Yes,Yes,AM4,€339.90,https://fi.pcpartpicker.com/product/ycGbt6/amd-ryzen-7-5700g-38-ghz-8-core-processor-100-100000263box
10,AMD Ryzen 7 3700X 3.6 GHz 8-Core Processor (Ryzen 7 3700X),AMD,8,3.6 GHz,4.4 GHz,65 W,None,2 x 16 MB,Yes,Yes,AM4,€259.90,https://fi.pcpartpicker.com/product/QKJtt6/amd-ryzen-7-3700x-36-ghz-8-core-processor-100-100000071box
11,AMD Ryzen 7 5800X3D 3.4 GHz 8-Core Processor (100-100000651WOF),AMD,8,3.4 GHz,4.5 GHz,105 W,None,1 x 96 MB,Yes,No,AM4,€519.90,https://fi.pcpartpicker.com/product/CZ3gXL/amd-ryzen-7-5800x3d-34-ghz-8-core-processor-100-100000651wof
12,AMD Ryzen 5 4500 3.6 GHz 6-Core Processor (100-100000644BOX),AMD,6,3.6 GHz,4.1 GHz,65 W,None,1 x 8 MB,Yes,Yes,AM4,€129.90,https://fi.pcpartpicker.com/product/m8BG3C/amd-ryzen-5-4500-36-ghz-6-core-processor-100-100000644box
