id,Name,Manufacturer,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Length,TDP,Expansion Slot Width,Cooling,Price,Url
1,Asus GeForce GTX 1660 SUPER 6 GB TUF GAMING OC Video Card (TUF-GTX1660S-O6G-GAMING),Asus,GeForce GTX 1660 SUPER,6 GB,GDDR6,1530 MHz,1845 MHz,14002 MHz,PCIe x16,Black,206 mm,125 W,2,2 Fans,€361.00,https://fi.pcpartpicker.com/product/CH4BD3/asus-geforce-gtx-1660-super-6-gb-tuf-gaming-oc-video-card-tuf-gtx1660s-o6g-gaming
2,Asus GeForce GTX 1650 G5 4 GB Phoenix OC Video Card (PH-GTX1650-O4G),Asus,GeForce GTX 1650 G5,4 GB,GDDR5,1485 MHz,1710 MHz,8002 MHz,PCIe x16,Black,190 mm,75 W,2,1 Fan,€251.00,https://fi.pcpartpicker.com/product/f8WfrH/asus-geforce-gtx-1650-4-gb-phoenix-oc-video-card-ph-gtx1650-o4g
3,Asus GeForce GTX 1660 SUPER 6 GB Phoenix OC Video Card (PH-GTX1660S-O6G),Asus,GeForce GTX 1660 SUPER,6 GB,GDDR6,1530 MHz,1830 MHz,14002 MHz,PCIe x16,Black / White,174 mm,125 W,2,1 Fan,€334.00,https://fi.pcpartpicker.com/product/jkfFf7/asus-geforce-gtx-1660-super-6-gb-phoenix-oc-video-card-ph-gtx1660s-o6g
4,Asus GeForce GTX 1660 SUPER 6 GB DUAL EVO OC Video Card (DUAL-GTX1660S-O6G-EVO),Asus,GeForce GTX 1660 SUPER,6 GB,GDDR6,1530 MHz,1860 MHz,14002 MHz,PCIe x16,Black,242 mm,125 W,2,2 Fans,€384.00,https://fi.pcpartpicker.com/product/zwYQzy/asus-geforce-gtx-1660-super-6-gb-dual-evo-oc-video-card-dual-gtx1660s-o6g-evo
5,Asus GeForce GTX 1650 G6 4 GB TUF GAMING OC Video Card (TUF-GTX1650-O4GD6-GAMING),Asus,GeForce GTX 1650 G6,4 GB,GDDR6,1410 MHz,1680 MHz,12000 MHz,PCIe x16,Black,204 mm,75 W,2,2 Fans,€249.90,https://fi.pcpartpicker.com/product/DnjBD3/asus-geforce-gtx-1650-g6-4-gb-tuf-gaming-oc-video-card-tuf-gtx1650-o4gd6-gaming
6,Asus GeForce GTX 1050 Ti 4 GB CERBERUS Video Card (CERBERUS-GTX1050TI-A4G),Asus,GeForce GTX 1050 Ti,4 GB,GDDR5,1328 MHz,1442 MHz,7008 MHz,PCIe x16,Black / Red,203 mm,75 W,2,2 Fans,€212.00,https://fi.pcpartpicker.com/product/Bzvbt6/asus-geforce-gtx-1050-ti-4gb-cerberus-video-card-cerberus-gtx1050ti-a4g
7,Asus GeForce GTX 1650 G6 4 GB DUAL MINI OC Video Card (DUAL-GTX1650-O4GD6-MINI),Asus,GeForce GTX 1650 G6,4 GB,GDDR6,1410 MHz,1650 MHz,12000 MHz,PCIe x16,Black,200 mm,75 W,2,2 Fans,€270.00,https://fi.pcpartpicker.com/product/KpPQzy/asus-geforce-gtx-1650-g6-4-gb-dual-mini-oc-video-card-dual-gtx1650-o4gd6-mini
8,EVGA GeForce RTX 3060 12 GB XC GAMING Video Card (12G-P5-3657-KR),EVGA,GeForce RTX 3060,12 GB,GDDR6,1320 MHz,1882 MHz,15000 MHz,PCIe x16,Black,202 mm,170 W,2,2 Fans,€509.90,https://fi.pcpartpicker.com/product/LpbTwP/evga-geforce-rtx-3060-12-gb-xc-gaming-video-card-12g-p5-3657-kr
9,MSI GeForce RTX 3060 12 GB VENTUS 2X Video Card (RTX3060Ventus2X12GOC),MSI,GeForce RTX 3060,12 GB,GDDR6,1320 MHz,1777 MHz,15000 MHz,PCIe x16,Black,235 mm,170 W,2,2 Fans,€479.90,https://fi.pcpartpicker.com/product/pD8bt6/msi-geforce-rtx-3060-12-gb-ventus-2x-video-card-rtx3060ventus2x12goc
10,Asus GeForce RTX 3070 Ti 8 GB TUF GAMING OC Video Card (TUF-RTX3070TI-O8G-GAMING),Asus,GeForce RTX 3070 Ti,8 GB,GDDR6X,1575 MHz,1815 MHz,19000 MHz,PCIe x16,Black / Silver,300 mm,290 W,2,3 Fans,€839.90,https://fi.pcpartpicker.com/product/CqPQzy/asus-geforce-rtx-3070-ti-8-gb-tuf-gaming-oc-video-card-tuf-rtx3070ti-o8g-gaming
11,EVGA GeForce RTX 3080 10GB LHR 10 GB FTW3 ULTRA GAMING LHR Video Card (10G-P5-3897-KL),EVGA,GeForce RTX 3080 10GB LHR,10 GB,GDDR6X,1440 MHz,1800 MHz,19000 MHz,PCIe x16,Black,300 mm,320 W,2,3 Fans,€1079.90,https://fi.pcpartpicker.com/product/zsmmP6/evga-geforce-rtx-3080-lhr-10-gb-ftw3-ultra-gaming-lhr-video-card-10g-p5-3897-kl
12,MSI GeForce RTX 3060 12 GB GAMING X Video Card (RTX 3060 Gaming X12G),MSI,GeForce RTX 3060,12 GB,GDDR6,1320 MHz,1837 MHz,15000 MHz,PCIe x16,Black / Silver,276 mm,170 W,2,2 Fans,€529.90,https://fi.pcpartpicker.com/product/wD8bt6/msi-geforce-rtx-3060-12-gb-gaming-x-video-card-rtx-3060-gaming-x12g
