id,Name,Manufacturer,Socket / CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Color,PCIe x16 Slots,PCIe x8 Slots,PCIe x4 Slots,PCIe x1 Slots,M.2 Slots,SATA 6.0 Gb/s,Onboard Ethernet,USB 2.0 Headers,USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,USB 3.2 Gen 2x2 Headers,Wireless Networking,RAID Support,Price,Url
1,Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4 Motherboard (TUF GAMING X570-PLUS (WI-FI)),Asus,AM4,ATX,AMD X570,128 GB,DDR4,4,Black / Gold,2,0,0,2,2242/2260/2280/22110 M-key,8,1 x 1 Gb/s (Realtek L8200A),2,1,0,0,Wi-Fi 5,Yes,€229.90,https://fi.pcpartpicker.com/product/dmGnTW/asus-tuf-gaming-x570-plus-wi-fi-atx-am4-motherboard-tuf-gaming-x570-plus-wi-fi
2,MSI MAG B550 TOMAHAWK ATX AM4 Motherboard (MAG B550 TOMAHAWK),MSI,AM4,ATX,AMD B550,128 GB,DDR4,4,Black / Silver,2,0,0,2,2242/2260/2280/22110 M-key,6,1 x 1 Gb/s,2,1,1,0,None,Yes,€219.00,https://fi.pcpartpicker.com/product/3Mxbt6/msi-mag-b550-tomahawk-atx-am4-motherboard-mag-b550-tomahawk
3,MSI B550-A PRO ATX AM4 Motherboard (B550-A PRO),MSI,AM4,ATX,AMD B550,128 GB,DDR4,4,Black / Silver,2,0,0,2,2242/2260/2280/22110 M-key,6,1 x 1 Gb/s,2,1,1,0,None,Yes,€124.90,https://fi.pcpartpicker.com/product/7gxbt6/msi-b550-a-pro-atx-am4-motherboard-b550-a-pro
4,Asus ROG STRIX B550-A GAMING ATX AM4 Motherboard (ROG STRIX B550-A GAMING),Asus,AM4,ATX,AMD B550,128 GB,DDR4,4,Black / White,2,0,0,3,2242/2260/2280/22110 M-key,6,1 x 2.5 Gb/s,2,1,0,0,None,Yes,€197.00,https://fi.pcpartpicker.com/product/y96qqs/asus-rog-strix-b550-a-gaming-atx-am4-motherboard-rog-strix-b550-a-gaming
5,Asus ROG STRIX Z690-A GAMING WIFI D4 ATX LGA1700 Motherboard (ROG STRIX Z690-A GAMING WIFI D4),Asus,LGA1700,ATX,Intel Z690,128 GB,DDR4,4,Silver / Black,2,0,0,1,2242/2260/2280/22110 M-key,6,1 x 2.5 Gb/s (Intel),2,1,0,1,Wi-Fi 6,Yes,€419.90,https://fi.pcpartpicker.com/product/G4Gbt6/asus-rog-strix-z690-a-gaming-wifi-d4-atx-lga1700-motherboard-rog-strix-z690-a-gaming-wifi-d4
6,Gigabyte B660M DS3H DDR4 Micro ATX LGA1700 Motherboard (B660M DS3H DDR4),Gigabyte,LGA1700,Micro ATX,Intel B660,128 GB,DDR4,4,Black,1,0,0,2,2260/2280 M-key,4,1 x 2.5 Gb/s (Realtek),2,1,0,0,None,Yes,€137.00,https://fi.pcpartpicker.com/product/Z6ddnQ/gigabyte-b660m-ds3h-ddr4-micro-atx-lga1700-motherboard-b660m-ds3h-ddr4
7,MSI MAG Z690 TOMAHAWK WIFI DDR4 ATX LGA1700 Motherboard (MAG Z690 TOMAHAWK WIFI DDR4),MSI,LGA1700,ATX,Intel Z690,128 GB,DDR4,4,Black / Silver,3,0,0,1,2242/2260/2280/22110 M-key,6,1 x 2.5 Gb/s (Intel I225-V),2,1,1,0,Wi-Fi 6,Yes,€329.90,https://fi.pcpartpicker.com/product/X6mmP6/msi-mag-z690-tomahawk-wifi-ddr4-atx-lga1700-motherboard-mag-z690-tomahawk-wifi-ddr4
8,Asus ROG STRIX B450-F GAMING II ATX AM4 Motherboard (ROG STRIX B450-F GAMING II),Asus,AM4,ATX,AMD B450,128 GB,DDR4,4,Black,3,0,0,3,2242/2260/2280 M-key,6,1 x 1 Gb/s,0,1,0,0,None,Yes,€149.00,https://fi.pcpartpicker.com/product/xYvqqs/asus-rog-strix-b450-f-gaming-ii-atx-am4-motherboard-rog-strix-b450-f-gaming-ii
9,Asus PRIME Z690-P WIFI D4 ATX LGA1700 Motherboard (PRIME Z690-P WIFI D4),Asus,LGA1700,ATX,Intel Z690,128 GB,DDR4,4,Silver / Black,4,0,0,1,2242/2260/2280/22110 M-key,4,1 x 2.5 Gb/s (Realtek),2,2,1,0,Wi-Fi 6,Yes,€302.00,https://fi.pcpartpicker.com/product/vxt9TW/asus-prime-z690-p-wifi-d4-atx-lga1700-motherboard-prime-z690-p-wifi-d4
10,MSI MAG B660M MORTAR WIFI DDR4 Micro ATX LGA1700 Motherboard (MAG B660M MORTAR WIFI DDR4),MSI,LGA1700,Micro ATX,Intel B660,128 GB,DDR4,4,Silver / Black,2,0,0,1,2242/2260/2280 M-key,6,1 x 2.5 Gb/s (Realtek RTL8125BG),2,1,1,0,Wi-Fi 6,Yes,€230.00,https://fi.pcpartpicker.com/product/pzstt6/msi-mag-b660m-mortar-wifi-ddr4-micro-atx-lga1700-motherboard-mag-b660m-mortar-wifi-ddr4
