id	Name	Manufacturer	Type	Color	Power Supply	Side Panel Window	Power Supply Shroud	Motherboard Form Factor	Maximum Video Card Length	Volume	Dimensions	Price	Url
1	Corsair 4000D Airflow ATX Mid Tower Case (CC-9011200-WW)	Corsair	ATX Mid Tower	Black	None	Tinted Tempered Glass	Yes	ATX	360 mm / 14.173	48.553 L	453 mm x 230 mm x 466 mm	€126.90	https://fi.pcpartpicker.com/product/bCYQzy/corsair-4000d-airflow-atx-mid-tower-case-cc-9011200-ww
2	NZXT H510 ATX Mid Tower Case (CA-H510B-W1)	NZXT	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	381 mm / 15 With Drive Cages	41.345 L	428 mm x 210 mm x 460 mm	€79.90	https://fi.pcpartpicker.com/product/6Cyqqs/nzxt-h510-atx-mid-tower-case-ca-h510b-w1
3	NZXT H510 Flow ATX Mid Tower Case (CA-H52FB-01)	NZXT	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	360 mm / 14.173	41.345 L	428 mm x 210 mm x 460 mm	€84.90	https://fi.pcpartpicker.com/product/yM2WGX/nzxt-h510-flow-atx-mid-tower-case-ca-h52fb-01
4	Corsair iCUE 4000X RGB ATX Mid Tower Case (CC-9011204-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	360 mm / 14.173	48.553 L	453 mm x 230 mm x 466 mm	€139.90	https://fi.pcpartpicker.com/product/6qFKHx/corsair-icue-4000x-rgb-atx-mid-tower-case-cc-9011204-ww
5	NZXT H510 Flow ATX Mid Tower Case (CA-H52FW-01)	NZXT	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	360 mm / 14.173	41.345 L	428 mm x 210 mm x 460 mm	€84.90	https://fi.pcpartpicker.com/product/dkRYcf/nzxt-h510-flow-atx-mid-tower-case-ca-h52fw-01
6	Lian Li O11 Dynamic EVO ATX Mid Tower Case (PC-O11DEW)	Lian Li	ATX Mid Tower	White / Gray	None	Tempered Glass	Yes	ATX	422 mm / 16.614			€177.90	https://fi.pcpartpicker.com/product/4cPQzy/lian-li-o11-dynamic-evo-atx-mid-tower-case-pc-o11dew
7	Lian Li PC-O11 Dynamic ATX Full Tower Case (PC-O11DX)	Lian Li	ATX Full Tower	Black	None	Tempered Glass	Yes	ATX	420 mm / 16.535	53.984 L	445 mm x 272 mm x 446 mm	€139.90	https://fi.pcpartpicker.com/product/Hwkj4D/lian-li-pc-o11dx-atx-full-tower-case-pc-o11dx
8	Corsair 4000D Airflow ATX Mid Tower Case (CC-9011201-WW)	Corsair	ATX Mid Tower	White	None	Tinted Tempered Glass	Yes	ATX	360 mm / 14.173	48.553 L	453 mm x 230 mm x 466 mm	€128.90	https://fi.pcpartpicker.com/product/WBVG3C/corsair-4000d-airflow-atx-mid-tower-case-cc-9011201-ww
9	Phanteks Eclipse P360A ATX Mid Tower Case (PH-EC360ATG_DBK)	Phanteks	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	400 mm / 15.748	42.315 L	455 mm x 200 mm x 465 mm	€91.90	https://fi.pcpartpicker.com/product/ZJcRsY/phanteks-eclipse-p360a-atx-mid-tower-case-ph-ec360atg_dbk
10	Corsair 5000D AIRFLOW ATX Mid Tower Case (CC-9011210-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	420 mm / 16.535			€164.90	https://fi.pcpartpicker.com/product/PWn8TW/corsair-5000d-airflow-atx-mid-tower-case-cc-9011210-ww
11	Lian Li O11 Dynamic Mini Snow Edition ATX Mid Tower Case (O11D MINI-S)	Lian Li	ATX Mid Tower	White	None	Tempered Glass	No	ATX	370 mm / 14.567	43.012 L	420 mm x 269.5 mm x 380 mm	€124.90	https://fi.pcpartpicker.com/product/PgbTwP/lian-li-o11-dynamic-mini-snow-edition-atx-mid-tower-case-o11d-mini-s
