id	Name	Manufacturer	Form Factor	Modules	Color	CAS Latency	Voltage	ECC / Registered	Heat Spreader	Price	Url
1	Corsair CORSAIR Vengeance LPX 16GB 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model CMK16GX4M1D3000C16 16 GB (1 x 16 GB) DDR4-3000 CL16 Memory (CMK16GX4M1D3000C16)	Corsair	288-pin DIMM (DDR4)	1 x 16GB	Black	16	1.35 V	Non-ECC / Unbuffered	Yes	€79.00	https://fi.pcpartpicker.com/product/fjWfrH/corsair-vengeance-lpx-16gb-1-x-16gb-ddr4-3000-memory-cmk16gx4m1d3000c16
2	Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory (CMK16GX4M2B3200C16)	Corsair	288-pin DIMM (DDR4)	2 x 8GB	Black / Yellow	16	1.35 V	Non-ECC / Unbuffered	Yes	€79.90	https://fi.pcpartpicker.com/product/p6RFf7/corsair-memory-cmk16gx4m2b3200c16
3	Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory (CMW32GX4M2Z3600C18)	Corsair	288-pin DIMM (DDR4)	2 x 16GB	Black	18	1.35 V	Non-ECC / Unbuffered	Yes	€174.90	https://fi.pcpartpicker.com/product/khmFf7/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3600-memory-cmw32gx4m2z3600c18
4	Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory (CMW16GX4M2C3200C16)	Corsair	288-pin DIMM (DDR4)	2 x 8GB	Black	16	1.35 V	Non-ECC / Unbuffered	Yes	€94.90	https://fi.pcpartpicker.com/product/QDhKHx/corsair-vengeance-rgb-pro-16gb-2-x-8gb-ddr4-3200-memory-cmw16gx4m2c3200c16
5	G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory (F4-3200C16D-32GVK)	G.Skill	288-pin DIMM (DDR4)	2 x 16GB	Black	16	1.35 V	Non-ECC / Unbuffered	Yes	€134.00	https://fi.pcpartpicker.com/product/kXbkcf/gskill-memory-f43200c16d32gvk
6	G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory (F4-3200C16D-16GVKB)	G.Skill	288-pin DIMM (DDR4)	2 x 8GB	Black	16	1.35 V	Non-ECC / Unbuffered	Yes	€76.00	https://fi.pcpartpicker.com/product/Cf98TW/gskill-ripjaws-v-series-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-f4-3200c16d-16gvkb
7	Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory (CMK32GX4M2D3600C18)	Corsair	288-pin DIMM (DDR4)	2 x 16GB	Black / Yellow	18	1.35 V	Non-ECC / Unbuffered	Yes	€159.90	https://fi.pcpartpicker.com/product/Yg3mP6/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3600-memory-cmk32gx4m2d3600c18
8	Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory (CMW16GX4M2C3200C16W)	Corsair	288-pin DIMM (DDR4)	2 x 8GB	White	16	1.35 V	Non-ECC / Unbuffered	Yes	€99.90	https://fi.pcpartpicker.com/product/vfDJ7P/corsair-vengeance-rgb-pro-16gb-2-x-8gb-ddr4-3200-memory-cmw16gx4m2c3200c16w
9	G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3600 CL18 Memory (F4-3600C18D-16GTZRX)	G.Skill	288-pin DIMM (DDR4)	2 x 8GB	Black	18	1.35 V	Non-ECC / Unbuffered	Yes	€111.00	https://fi.pcpartpicker.com/product/6jBTwP/gskill-trident-z-rgb-16gb-2-x-8gb-ddr4-3600-memory-f4-3600c18d-16gtzrx
10	Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3600 CL18 Memory (CMK16GX4M2D3600C18)	Corsair	288-pin DIMM (DDR4)	2 x 8GB	Black	18	1.35 V	Non-ECC / Unbuffered	Yes	€89.90	https://fi.pcpartpicker.com/product/VNJtt6/corsair-16-gb-2-x-8-gb-ddr4-3600-memory-cmk16gx4m2d3600c18
