id	Name	Manufacturer	Form Factor	Efficiency Rating	Wattage	Length	Modular	Color	Type	Fanless	ATX Connectors	EPS Connectors	PCIe 12-Pin Connectors	PCIe 8-Pin Connectors	PCIe 6+2-Pin Connectors	PCIe 6-Pin Connectors	SATA Connectors	Molex 4-Pin Connectors	Price	Url
1	Corsair RMx (2021) 850 W 80+ Gold Certified Fully Modular ATX Power Supply (CP-9020200-NA)	Corsair	ATX	80+ Gold	850 W	160 mm	Full	Black	ATX	No	0	3	0	0	4	0	14	4	€137.90	https://fi.pcpartpicker.com/product/26rRsY/corsair-rmx-2021-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020200-na
2	Corsair RM (2021) 750 W 80+ Gold Certified Fully Modular ATX Power Supply (CP-9020234-NA)	Corsair	ATX	80+ Gold	750 W	160 mm	Full	Black	ATX	No	0	3	0	0	4	0	14	4	€109.90	https://fi.pcpartpicker.com/product/QdgFf7/corsair-rm-2021-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020234-na
3	Corsair HX1000 Platinum 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply (CP-9020139-NA)	Corsair	ATX	80+ Platinum	1000 W	180 mm	Full		ATX	No	0	2	0	0	8	0	16	8	€224.00	https://fi.pcpartpicker.com/product/nQJkcf/corsair-hx-platinum-1000w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020139-na
4	Corsair CV 650 W 80+ Bronze Certified ATX Power Supply (CP-9020236-NA)	Corsair	ATX	80+ Bronze	650 W	125 mm	No	Black	ATX	No	0	1	0	0	2	0	10	8	€69.90	https://fi.pcpartpicker.com/product/cY2bt6/corsair-cv-650-w-80-bronze-certified-atx-power-supply-cp-9020211-na
5	Corsair SF750 750 W 80+ Platinum Certified Fully Modular SFX Power Supply (CP-9020186-NA)	Corsair	SFX	80+ Platinum	750 W	100 mm	Full		SFX12V	No	0	2	0	0	4	0	8	3	€147.00	https://fi.pcpartpicker.com/product/nJrmP6/corsair-750-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020186-na
6	Corsair AX1600i 1600 W 80+ Titanium Certified Fully Modular ATX Power Supply (CP-9020087-NA)	Corsair	ATX	80+ Titanium	1600 W	200 mm	Full		ATX	No	0	2	0	0	8	0	5	3	€549.00	https://fi.pcpartpicker.com/product/cJbwrH/corsair-1600w-80-titanium-certified-fully-modular-atx-power-supply-cp-9020087-na
7	Corsair RMx (2021) 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (CP-9020201-NA)	Corsair	ATX	80+ Gold	1000 W	180 mm	Full	Black	ATX	No	0	3	0	0	6	0	14	8	€189.90	https://fi.pcpartpicker.com/product/jRvdnQ/corsair-rmx-2021-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020201-na
8	Corsair HX1200 Platinum 1200 W 80+ Platinum Certified Fully Modular ATX Power Supply (CP-9020140-NA)	Corsair	ATX	80+ Platinum	1200 W	200 mm	Full		ATX	No	0	2	0	0	8	0	16	8	€259.00	https://fi.pcpartpicker.com/product/f7L7YJ/corsair-hx-platinum-1200w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020140-na
9	Corsair RM750x (2018) 750 W 80+ Gold Certified Fully Modular ATX Power Supply (CP-9020179-NA)	Corsair	ATX	80+ Gold	750 W	160 mm	Full	Black	ATX	No	0	2	0	0	4	0	9	2	€112.90	https://fi.pcpartpicker.com/product/79tQzy/corsair-rmx-2018-750w-80-gold-certified-fully-modular-atx-power-supply-cp-9020179-na
10	Corsair CV 550 W 80+ Bronze Certified ATX Power Supply (CP-9020210-NA)	Corsair	ATX	80+ Bronze	550 W	125 mm	No	Black	ATX	No	0	1	0	0	2	0	7	3	€59.90	https://fi.pcpartpicker.com/product/HcgQzy/corsair-cv-550-w-80-bronze-certified-atx-power-supply-cp-9020210-na
11	Cooler Master V850 SFX 850 W 80+ Gold Certified Fully Modular SFX Power Supply (MPY-8501-SFHAGV-US)	Cooler Master	SFX	80+ Gold	850 W	100 mm	Full	Black	SFX12V	No	0	2	0	0	4	0	8	4	€149.90	https://fi.pcpartpicker.com/product/Q36qqs/cooler-master-v-sfx-gold-850-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-8501-sfhagv-us
12	MSI MPG A-GF 650 W 80+ Gold Certified Fully Modular ATX Power Supply (MPG A650GF)	MSI	ATX	80+ Gold	650 W	160 mm	Full	Black	ATX	No	0	2	0	0	6	0	8	5	€119.90	https://fi.pcpartpicker.com/product/bq6qqs/msi-mpg-a-gf-650-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a650gf
