id	Name	Manufacturer	Capacity	Type	Cache	Form Factor	Interface	NVME	Price	Url
1	Seagate Barracuda Compute 2 TB 3.5" 7200RPM Internal Hard Drive (ST2000DM008)	Seagate	2 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€59.90	https://fi.pcpartpicker.com/product/mwrYcf/seagate-barracuda-computer-2-tb-35-7200rpm-internal-hard-drive-st2000dm008
2	Western Digital Caviar Blue 1 TB 3.5" 7200RPM Internal Hard Drive (WD10EZEX)	Western Digital	1 TB	7200RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€47.90	https://fi.pcpartpicker.com/product/MwW9TW/western-digital-internal-hard-drive-wd10ezex
3	Seagate BarraCuda 1 TB 3.5" 7200RPM Internal Hard Drive (ST1000DM010)	Seagate	1 TB	7200RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€47.90	https://fi.pcpartpicker.com/product/44Gj4D/seagate-barracuda-1tb-35-7200rpm-internal-hard-drive-st1000dm010
4	Western Digital Blue 2 TB 3.5" 7200RPM Internal Hard Drive (WD20EZBX)	Western Digital	2 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€65.00	https://fi.pcpartpicker.com/product/gHNxFT/western-digital-wd-blue-2-tb-35-7200rpm-internal-hard-drive-wd20ezbx
5	Western Digital Blue 4 TB 3.5" 5400RPM Internal Hard Drive (WD40EZAZ)	Western Digital	4 TB	5400RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€99.00	https://fi.pcpartpicker.com/product/9wVmP6/western-digital-wd-blue-4-tb-35-5400rpm-internal-hard-drive-wd40ezaz
6	Seagate IronWolf Pro 4 TB 3.5" 7200RPM Internal Hard Drive (ST4000NE001)	Seagate	4 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€161.00	https://fi.pcpartpicker.com/product/vXH8TW/seagate-ironwolf-pro-4-tb-35-7200rpm-internal-hard-drive-st4000ne001
7	Western Digital Black 4 TB 3.5" 7200RPM Internal Hard Drive (WD4005FZBX)	Western Digital	4 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€216.00	https://fi.pcpartpicker.com/product/dGHRsY/western-digital-black-4tb-35-7200rpm-internal-hard-drive-wd4005fzbx
8	Seagate EXOS Enterprise 16 TB 3.5" 7200RPM Internal Hard Drive (ST16000NM001G)	Seagate	16 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€341.00	https://fi.pcpartpicker.com/product/TYcRsY/seagate-exos-enterprise-16-tb-35-7200rpm-internal-hard-drive-st16000nm001g
9	Seagate IronWolf NAS 8 TB 3.5" 7200RPM Internal Hard Drive (ST8000VN004)	Seagate	8 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€248.00	https://fi.pcpartpicker.com/product/sD848d/seagate-ironwolf-8-tb-35-7200rpm-internal-hard-drive-st8000vn004
10	Western Digital Black 2 TB 3.5" 7200RPM Internal Hard Drive (WD2003FZEX)	Western Digital	2 TB	7200RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€148.00	https://fi.pcpartpicker.com/product/XtjG3C/western-digital-internal-hard-drive-wd2003fzex
11	Seagate BarraCuda 4 TB 3.5" 5400RPM Internal Hard Drive (ST4000DM004)	Seagate	4 TB	5400RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€99.90	https://fi.pcpartpicker.com/product/jD3H99/seagate-barracuda-4tb-35-5400rpm-internal-hard-drive-st4000dm004
12	Seagate IronWolf NAS 4 TB 3.5" 5900RPM Internal Hard Drive (ST4000VN008)	Seagate	4 TB	5900RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€127.00	https://fi.pcpartpicker.com/product/6MX2FT/seagate-ironwolf-4tb-35-5900rpm-internal-hard-drive-st4000vn008
13	Seagate EXOS Enterprise 14 TB 3.5" 7200RPM Internal Hard Drive (ST14000NM001G)	Seagate	14 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€313.00	https://fi.pcpartpicker.com/product/XD848d/seagate-exos-enterprise-14-tb-35-7200rpm-internal-hard-drive-st14000nm001g
14	Western Digital Red 4 TB 3.5" 5400RPM Internal Hard Drive (WD40EFAX)	Western Digital	4 TB	5400RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€112.90	https://fi.pcpartpicker.com/product/LN2bt6/western-digital-red-4-tb-35-5400rpm-internal-hard-drive-wd40efax
15	Western Digital Blue 1 TB 3.5" 5400RPM Internal Hard Drive (WD10EZRZ)	Western Digital	1 TB	5400RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€50.00	https://fi.pcpartpicker.com/product/q3Z2FT/western-digital-internal-hard-drive-wd10ezrz
